"order_id";"order_date";"ship_mode";"segment";"country";"city";"state";"postal_code";"region";"sub_category";"product_id";"cost_price";"list_price";"quantity";"discount_percent";"category_Office Supplies";"category_Technology";"sales";"order_month";"order_day";"order_weekday";"order_hour";"log_sales";"profit"
25;"2023-02-24 00:00:00";"Standard Class";"Consumer";"United States";"Orem";"Utah";84057;"West";"Tables";"FUR-TA-10000577";900;1040;3;5;0;0;3120;2;24;4;0;8.045908742270779;140
26;"2022-06-20 00:00:00";"Second Class";"Consumer";"United States";"Los Angeles";"California";90049;"West";"Binders";"OFF-BI-10001634";10;10;2;5;1;0;20;6;20;0;0;3.044522437723423;0
27;"2022-02-08 00:00:00";"Second Class";"Consumer";"United States";"Los Angeles";"California";90049;"West";"Accessories";"TEC-AC-10003027";80;90;3;3;0;1;270;2;8;1;0;5.602118820879701;10
28;"2023-12-11 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Bookcases";"FUR-BO-10004834";2740;3080;7;3;0;0;21560;12;11;0;0;9.978641406136552;340
29;"2022-08-21 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Binders";"OFF-BI-10000474";10;10;2;5;1;0;20;8;21;6;0;3.044522437723423;0
30;"2022-08-14 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Furnishings";"FUR-FU-10004848";100;120;3;4;0;0;360;8;14;6;0;5.8888779583328805;20
31;"2022-11-20 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Envelopes";"OFF-EN-10001509";0;0;2;5;1;0;0;11;20;6;0;0.0;0
32;"2023-01-19 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Art";"OFF-AR-10004042";70;90;6;4;1;0;540;1;19;3;0;6.293419278846481;20
33;"2023-01-30 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Binders";"OFF-BI-10001525";10;10;6;5;1;0;60;1;30;0;0;4.110873864173311;0
34;"2022-06-03 00:00:00";"Standard Class";"Consumer";"United States";"Philadelphia";"Pennsylvania";19140;"East";"Art";"OFF-AR-10001683";20;20;2;4;1;0;40;6;3;4;0;3.713572066704308;0
35;"2022-09-28 00:00:00";"Second Class";"Home Office";"United States";"Houston";"Texas";77095;"Central";"Paper";"OFF-PA-10000249";30;30;3;3;1;0;90;9;28;2;0;4.51085950651685;0
36;"2022-10-30 00:00:00";"First Class";"Corporate";"United States";"Richardson";"Texas";75080;"Central";"Phones";"TEC-PH-10004977";1020;1100;7;5;0;1;7700;10;30;6;0;8.94910546953925;80
37;"2023-07-27 00:00:00";"First Class";"Corporate";"United States";"Richardson";"Texas";75080;"Central";"Furnishings";"FUR-FU-10003664";180;190;5;4;0;0;950;7;27;3;0;6.85751406254539;10
38;"2023-03-07 00:00:00";"Standard Class";"Home Office";"United States";"Houston";"Texas";77041;"Central";"Envelopes";"OFF-EN-10002986";90;110;9;2;1;0;990;3;7;1;0;6.898714534329988;20
39;"2023-08-18 00:00:00";"Standard Class";"Home Office";"United States";"Houston";"Texas";77041;"Central";"Bookcases";"FUR-BO-10002545";460;530;3;2;0;0;1590;8;18;4;0;7.372118028337787;70
40;"2022-01-20 00:00:00";"Standard Class";"Home Office";"United States";"Houston";"Texas";77041;"Central";"Chairs";"FUR-CH-10004218";200;210;3;2;0;0;630;1;20;3;0;6.447305862541213;10
41;"2023-06-29 00:00:00";"Standard Class";"Home Office";"United States";"Houston";"Texas";77041;"Central";"Phones";"TEC-PH-10000486";350;370;4;5;0;1;1480;6;29;3;0;7.300472814267799;20
42;"2022-06-28 00:00:00";"Standard Class";"Corporate";"United States";"Naperville";"Illinois";60540;"Central";"Phones";"TEC-PH-10004093";140;150;4;3;0;1;600;6;28;1;0;6.398594934535208;10
43;"2023-02-09 00:00:00";"Standard Class";"Corporate";"United States";"Los Angeles";"California";90049;"West";"Storage";"OFF-ST-10003479";70;80;2;5;1;0;160;2;9;3;0;5.081404364984463;10
44;"2023-09-18 00:00:00";"Standard Class";"Corporate";"United States";"Melbourne";"Florida";32935;"South";"Storage";"OFF-ST-10003282";90;100;2;4;1;0;200;9;18;0;0;5.303304908059076;10
45;"2022-11-11 00:00:00";"First Class";"Corporate";"United States";"Eagan";"Minnesota";55122;"Central";"Accessories";"TEC-AC-10000171";40;50;2;2;0;1;100;11;11;4;0;4.61512051684126;10
46;"2022-05-27 00:00:00";"First Class";"Corporate";"United States";"Eagan";"Minnesota";55122;"Central";"Binders";"OFF-BI-10003291";20;20;2;5;1;0;40;5;27;4;0;3.713572066704308;0
47;"2023-02-03 00:00:00";"Second Class";"Consumer";"United States";"Westland";"Michigan";48185;"Central";"Storage";"OFF-ST-10001713";180;210;4;4;1;0;840;2;3;4;0;6.734591659972948;30
48;"2022-02-16 00:00:00";"Standard Class";"Consumer";"United States";"Dover";"Delaware";19901;"East";"Accessories";"TEC-AC-10002167";50;50;3;5;0;1;150;2;16;2;0;5.017279836814924;0
49;"2022-05-06 00:00:00";"Standard Class";"Consumer";"United States";"Dover";"Delaware";19901;"East";"Phones";"TEC-PH-10003988";20;20;2;4;0;1;40;5;6;4;0;3.713572066704308;0
50;"2023-06-18 00:00:00";"Standard Class";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"Binders";"OFF-BI-10004410";30;40;6;4;1;0;240;6;18;6;0;5.484796933490655;10
51;"2022-01-11 00:00:00";"Standard Class";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"Labels";"OFF-LA-10002762";70;80;6;4;1;0;480;1;11;1;0;6.175867270105761;10
52;"2023-09-09 00:00:00";"Standard Class";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"Furnishings";"FUR-FU-10001706";10;10;2;4;0;0;20;9;9;5;0;3.044522437723423;0
53;"2022-01-31 00:00:00";"Standard Class";"Consumer";"United States";"New Albany";"Indiana";47150;"Central";"Chairs";"FUR-CH-10003061";70;90;1;5;0;0;90;1;31;0;0;4.51085950651685;20
54;"2023-07-30 00:00:00";"Standard Class";"Corporate";"United States";"New York City";"New York";10024;"East";"Fasteners";"OFF-FA-10000304";20;20;7;3;1;0;140;7;30;6;0;4.948759890378168;0
55;"2023-10-17 00:00:00";"Standard Class";"Corporate";"United States";"New York City";"New York";10024;"East";"Phones";"TEC-PH-10002447";850;1030;5;4;0;1;5150;10;17;1;0;8.546946149565585;180
56;"2023-07-06 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Storage";"OFF-ST-10000604";200;210;6;5;1;0;1260;7;6;3;0;7.13966033596492;10
57;"2023-09-15 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Paper";"OFF-PA-10001569";30;30;5;5;1;0;150;9;15;4;0;5.017279836814924;0
58;"2022-08-09 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Chairs";"FUR-CH-10003968";290;320;5;2;0;0;1600;8;9;1;0;7.3783837129967145;30
59;"2022-04-05 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Paper";"OFF-PA-10000587";10;10;2;4;1;0;20;4;5;1;0;3.044522437723423;0
60;"2023-06-24 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Accessories";"TEC-AC-10002167";20;30;2;5;0;1;60;6;24;5;0;4.110873864173311;10
61;"2022-03-10 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Binders";"OFF-BI-10001460";40;50;4;2;1;0;200;3;10;3;0;5.303304908059076;10
62;"2023-04-08 00:00:00";"First Class";"Consumer";"United States";"Troy";"New York";12180;"East";"Art";"OFF-AR-10001868";0;0;1;5;1;0;0;4;8;5;0;0.0;0
63;"2023-10-16 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90004;"West";"Accessories";"TEC-AC-10004633";10;10;2;3;0;1;20;10;16;0;0;3.044522437723423;0
64;"2023-08-02 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90004;"West";"Binders";"OFF-BI-10001078";20;30;6;2;1;0;180;8;2;2;0;5.198497031265826;10
65;"2022-11-05 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90004;"West";"Paper";"OFF-PA-10003892";130;150;3;5;1;0;450;11;5;5;0;6.111467339502679;20
66;"2022-05-06 00:00:00";"Standard Class";"Consumer";"United States";"Los Angeles";"California";90004;"West";"Furnishings";"FUR-FU-10000397";70;80;4;2;0;0;320;5;6;4;0;5.771441123130016;10
67;"2022-03-26 00:00:00";"Standard Class";"Home Office";"United States";"Chicago";"Illinois";60610;"Central";"Chairs";"FUR-CH-10001146";180;210;5;5;0;0;1050;3;26;5;0;6.957497370876951;30
68;"2022-04-10 00:00:00";"Standard Class";"Corporate";"United States";"Gilbert";"Arizona";85234;"West";"Art";"OFF-AR-10002671";940;1110;8;3;1;0;8880;4;10;6;0;9.091669442258505;170
69;"2022-08-12 00:00:00";"Standard Class";"Corporate";"United States";"Gilbert";"Arizona";85234;"West";"Phones";"TEC-PH-10002726";160;170;4;3;0;1;680;8;12;4;0;6.523562306149512;10
70;"2022-02-25 00:00:00";"First Class";"Consumer";"United States";"Springfield";"Virginia";22153;"South";"Paper";"OFF-PA-10000482";70;80;2;2;1;0;160;2;25;4;0;5.081404364984463;10
71;"2022-11-29 00:00:00";"Standard Class";"Consumer";"United States";"New York City";"New York";10009;"East";"Binders";"OFF-BI-10004654";0;0;1;3;1;0;0;11;29;1;0;0.0;0
72;"2022-12-18 00:00:00";"Second Class";"Consumer";"United States";"Jackson";"Michigan";49201;"Central";"Paper";"OFF-PA-10004675";20;20;3;3;1;0;60;12;18;6;0;4.110873864173311;0
73;"2023-03-07 00:00:00";"Standard Class";"Consumer";"United States";"Memphis";"Tennessee";38109;"South";"Chairs";"FUR-CH-10000513";790;830;8;2;0;0;6640;3;7;1;0;8.801017833540714;40
74;"2023-07-12 00:00:00";"Standard Class";"Consumer";"United States";"Memphis";"Tennessee";38109;"South";"Furnishings";"FUR-FU-10003708";90;100;2;3;0;0;200;7;12;2;0;5.303304908059076;10
75;"2022-10-21 00:00:00";"Standard Class";"Consumer";"United States";"Memphis";"Tennessee";38109;"South";"Storage";"OFF-ST-10004123";60;70;1;2;1;0;70;10;21;4;0;4.2626798770413155;10
76;"2023-04-17 00:00:00";"First Class";"Corporate";"United States";"Houston";"Texas";77041;"Central";"Binders";"OFF-BI-10004182";0;0;3;4;1;0;0;4;17;0;0;0.0;0
77;"2023-05-20 00:00:00";"First Class";"Corporate";"United States";"Houston";"Texas";77041;"Central";"Furnishings";"FUR-FU-10000260";10;10;3;4;0;0;30;5;20;5;0;3.4339872044851463;0
78;"2023-05-13 00:00:00";"First Class";"Corporate";"United States";"Houston";"Texas";77041;"Central";"Storage";"OFF-ST-10000615";20;30;3;2;1;0;90;5;13;5;0;4.51085950651685;10
79;"2022-10-20 00:00:00";"Second Class";"Consumer";"United States";"Houston";"Texas";77070;"Central";"Furnishings";"FUR-FU-10003194";20;20;5;2;0;0;100;10;20;3;0;4.61512051684126;0
80;"2023-10-22 00:00:00";"First Class";"Corporate";"United States";"Decatur";"Alabama";35601;"South";"Appliances";"OFF-AP-10002118";190;210;1;3;1;0;210;10;22;6;0;5.351858133476067;20
81;"2022-07-20 00:00:00";"First Class";"Corporate";"United States";"Decatur";"Alabama";35601;"South";"Binders";"OFF-BI-10002309";20;20;3;2;1;0;60;7;20;2;0;4.110873864173311;0
82;"2022-11-16 00:00:00";"Standard Class";"Consumer";"United States";"San Francisco";"California";94122;"West";"Art";"OFF-AR-10002053";10;10;5;5;1;0;50;11;16;2;0;3.9318256327243257;0
83;"2022-11-10 00:00:00";"Standard Class";"Consumer";"United States";"San Francisco";"California";94122;"West";"Storage";"OFF-ST-10002370";20;20;1;4;1;0;20;11;10;3;0;3.044522437723423;0
84;"2022-03-15 00:00:00";"Standard Class";"Corporate";"United States";"Durham";"North Carolina";27707;"South";"Envelopes";"OFF-EN-10000927";180;200;7;3;1;0;1400;3;15;1;0;7.244941546337007;20
85;"2023-10-03 00:00:00";"First Class";"Home Office";"United States";"Chicago";"Illinois";60623;"Central";"Storage";"OFF-ST-10003656";210;230;3;2;1;0;690;10;3;1;0;6.53813982376767;20
86;"2022-03-20 00:00:00";"Second Class";"Consumer";"United States";"Columbia";"South Carolina";29203;"South";"Chairs";"FUR-CH-10000863";260;300;2;5;0;0;600;3;20;6;0;6.398594934535208;40
87;"2023-12-04 00:00:00";"Standard Class";"Consumer";"United States";"Rochester";"Minnesota";55901;"Central";"Accessories";"TEC-AC-10001998";20;20;1;5;0;1;20;12;4;0;0;3.044522437723423;0
88;"2023-11-24 00:00:00";"Standard Class";"Consumer";"United States";"Rochester";"Minnesota";55901;"Central";"Labels";"OFF-LA-10000134";10;10;2;5;1;0;20;11;24;4;0;3.044522437723423;0
89;"2023-12-30 00:00:00";"Second Class";"Home Office";"United States";"Houston";"Texas";77095;"Central";"Storage";"OFF-ST-10003442";140;160;7;5;1;0;1120;12;30;5;0;7.02197642307216;20
90;"2022-05-23 00:00:00";"Standard Class";"Corporate";"United States";"Los Angeles";"California";90036;"West";"Art";"OFF-AR-10004930";20;20;3;2;1;0;60;5;23;0;0;4.110873864173311;0
91;"2023-04-06 00:00:00";"Standard Class";"Corporate";"United States";"Los Angeles";"California";90036;"West";"Phones";"TEC-PH-10004093";60;70;2;2;0;1;140;4;6;3;0;4.948759890378168;10
92;"2022-03-23 00:00:00";"Standard Class";"Corporate";"United States";"Los Angeles";"California";90036;"West";"Paper";"OFF-PA-10000304";10;10;1;2;1;0;10;3;23;2;0;2.3978952727983707;0
93;"2023-04-07 00:00:00";"Second Class";"Consumer";"United States";"Minneapolis";"Minnesota";55407;"Central";"Paper";"OFF-PA-10003177";10;10;2;2;1;0;20;4;7;4;0;3.044522437723423;0
94;"2022-05-13 00:00:00";"Second Class";"Consumer";"United States";"Minneapolis";"Minnesota";55407;"Central";"Furnishings";"FUR-FU-10003799";50;50;3;5;0;0;150;5;13;4;0;5.017279836814924;0
95;"2022-04-23 00:00:00";"Second Class";"Consumer";"United States";"Minneapolis";"Minnesota";55407;"Central";"Binders";"OFF-BI-10002852";20;30;2;3;1;0;60;4;23;5;0;4.110873864173311;10
96;"2023-12-17 00:00:00";"Standard Class";"Home Office";"United States";"Portland";"Oregon";97206;"West";"Binders";"OFF-BI-10004738";10;10;1;2;1;0;10;12;17;6;0;2.3978952727983707;0
97;"2022-04-28 00:00:00";"Second Class";"Home Office";"United States";"New York City";"New York";10009;"East";"Furnishings";"FUR-FU-10000629";80;100;7;5;0;0;700;4;28;3;0;6.55250788703459;20
98;"2023-06-14 00:00:00";"First Class";"Consumer";"United States";"San Francisco";"California";94122;"West";"Binders";"OFF-BI-10001721";40;50;3;4;1;0;150;6;14;2;0;5.017279836814924;10
99;"2023-02-05 00:00:00";"Standard Class";"Corporate";"United States";"Saint Paul";"Minnesota";55106;"Central";"Appliances";"OFF-AP-10000358";70;80;6;3;1;0;480;2;5;6;0;6.175867270105761;10
100;"2023-12-30 00:00:00";"Standard Class";"Home Office";"United States";"Chicago";"Illinois";60610;"Central";"Paper";"OFF-PA-10003256";60;60;7;3;1;0;420;12;30;5;0;6.042632833682381;0
101;"2022-02-24 00:00:00";"Standard Class";"Home Office";"United States";"Chicago";"Illinois";60610;"Central";"Accessories";"TEC-AC-10001767";80;100;3;5;0;1;300;2;24;3;0;5.707110264748875;20
102;"2022-07-25 00:00:00";"Standard Class";"Home Office";"United States";"Chicago";"Illinois";60610;"Central";"Binders";"OFF-BI-10002609";0;0;3;3;1;0;0;7;25;0;0;0.0;0
103;"2022-01-14 00:00:00";"Second Class";"Consumer";"United States";"Rochester";"Minnesota";55901;"Central";"Paper";"OFF-PA-10004040";20;20;4;4;1;0;80;1;14;4;0;4.394449154672439;0
104;"2022-12-22 00:00:00";"Standard Class";"Consumer";"United States";"Aurora";"Colorado";80013;"West";"Accessories";"TEC-AC-10001552";220;240;6;3;0;1;1440;12;22;3;0;7.273092595999522;20
105;"2022-06-09 00:00:00";"Standard Class";"Consumer";"United States";"Aurora";"Colorado";80013;"West";"Furnishings";"FUR-FU-10004006";90;100;3;5;0;0;300;6;9;3;0;5.707110264748875;10
106;"2023-10-28 00:00:00";"Standard Class";"Consumer";"United States";"Aurora";"Colorado";80013;"West";"Binders";"OFF-BI-10002794";30;40;3;5;1;0;120;10;28;5;0;4.795790545596741;10
107;"2022-10-18 00:00:00";"Standard Class";"Consumer";"United States";"Charlotte";"North Carolina";28205;"South";"Accessories";"TEC-AC-10003499";60;70;8;5;0;1;560;10;18;1;0;6.329720905522696;10
108;"2022-11-23 00:00:00";"Standard Class";"Consumer";"United States";"Charlotte";"North Carolina";28205;"South";"Phones";"TEC-PH-10002844";30;30;1;3;0;1;30;11;23;2;0;3.4339872044851463;0
109;"2023-10-12 00:00:00";"Standard Class";"Consumer";"United States";"Charlotte";"North Carolina";28205;"South";"Art";"OFF-AR-10000390";0;0;1;3;1;0;0;10;12;3;0;0.0;0
110;"2023-03-17 00:00:00";"Standard Class";"Home Office";"United States";"Orland Park";"Illinois";60462;"Central";"Accessories";"TEC-AC-10000844";290;340;5;2;0;1;1700;3;17;4;0;7.438971592395862;50
111;"2023-09-05 00:00:00";"Standard Class";"Corporate";"United States";"New York City";"New York";10035;"East";"Furnishings";"FUR-FU-10001934";30;40;2;2;0;0;80;9;5;1;0;4.394449154672439;10
112;"2022-01-28 00:00:00";"Standard Class";"Consumer";"United States";"Urbandale";"Iowa";50322;"Central";"Art";"OFF-AR-10000380";70;80;2;3;1;0;160;1;28;4;0;5.081404364984463;10
113;"2022-12-26 00:00:00";"Standard Class";"Consumer";"United States";"Urbandale";"Iowa";50322;"Central";"Binders";"OFF-BI-10003981";30;30;6;3;1;0;180;12;26;0;0;5.198497031265826;0
114;"2023-06-06 00:00:00";"Second Class";"Consumer";"United States";"Columbus";"Ohio";43229;"East";"Fasteners";"OFF-FA-10000621";40;40;14;2;1;0;560;6;6;1;0;6.329720905522696;0
115;"2023-11-08 00:00:00";"Second Class";"Consumer";"United States";"Columbus";"Ohio";43229;"East";"Envelopes";"OFF-EN-10002600";0;0;2;4;1;0;0;11;8;2;0;0.0;0
116;"2022-11-15 00:00:00";"Second Class";"Consumer";"United States";"Columbus";"Ohio";43229;"East";"Paper";"OFF-PA-10004965";20;20;3;4;1;0;60;11;15;1;0;4.110873864173311;0
117;"2022-06-30 00:00:00";"Second Class";"Consumer";"United States";"Columbus";"Ohio";43229;"East";"Envelopes";"OFF-EN-10002504";120;130;6;5;1;0;780;6;30;3;0;6.660575149839686;10
118;"2023-10-27 00:00:00";"Standard Class";"Consumer";"United States";"Seattle";"Washington";98103;"West";"Tables";"FUR-TA-10001768";720;790;3;4;0;0;2370;10;27;4;0;7.771067086065406;70
119;"2023-07-19 00:00:00";"Standard Class";"Corporate";"United States";"Bristol";"Tennessee";37620;"South";"Binders";"OFF-BI-10003650";140;160;1;5;1;0;160;7;19;2;0;5.081404364984463;20
120;"2023-03-30 00:00:00";"First Class";"Consumer";"United States";"Wilmington";"Delaware";19805;"East";"Furnishings";"FUR-FU-10002157";50;50;3;3;0;0;150;3;30;3;0;5.017279836814924;0
121;"2022-03-03 00:00:00";"First Class";"Consumer";"United States";"Wilmington";"Delaware";19805;"East";"Binders";"OFF-BI-10003910";20;30;4;2;1;0;120;3;3;3;0;4.795790545596741;10
122;"2022-10-20 00:00:00";"First Class";"Consumer";"United States";"Wilmington";"Delaware";19805;"East";"Storage";"OFF-ST-10000777";190;230;6;2;1;0;1380;10;20;3;0;7.2305631534092925;40
123;"2023-01-23 00:00:00";"First Class";"Consumer";"United States";"Wilmington";"Delaware";19805;"East";"Envelopes";"OFF-EN-10002500";110;120;9;4;1;0;1080;1;23;0;0;6.985641817639208;10
124;"2023-01-21 00:00:00";"First Class";"Consumer";"United States";"Wilmington";"Delaware";19805;"East";"Phones";"TEC-PH-10003875";60;70;7;2;0;1;490;1;21;5;0;6.19644412779452;10
125;"2023-07-18 00:00:00";"Second Class";"Home Office";"United States";"Houston";"Texas";77041;"Central";"Chairs";"FUR-CH-10004063";550;600;3;3;0;0;1800;7;18;1;0;7.496097345175956;50
126;"2023-07-15 00:00:00";"Standard Class";"Consumer";"United States";"Bloomington";"Illinois";61701;"Central";"Tables";"FUR-TA-10004534";540;620;6;4;0;0;3720;7;15;5;0;8.221747728346623;80
127;"2022-07-14 00:00:00";"Standard Class";"Consumer";"United States";"Phoenix";"Arizona";85023;"West";"Binders";"OFF-BI-10003274";0;0;2;4;1;0;0;7;14;3;0;0.0;0
128;"2023-03-30 00:00:00";"Standard Class";"Consumer";"United States";"Phoenix";"Arizona";85023;"West";"Storage";"OFF-ST-10002974";200;240;7;4;1;0;1680;3;30;3;0;7.427144133408616;40
129;"2023-09-18 00:00:00";"Second Class";"Home Office";"United States";"Los Angeles";"California";90004;"West";"Chairs";"FUR-CH-10001146";70;80;2;2;0;0;160;9;18;0;0;5.081404364984463;10
130;"2022-01-03 00:00:00";"Second Class";"Home Office";"United States";"Los Angeles";"California";90004;"West";"Furnishings";"FUR-FU-10003773";220;240;3;4;0;0;720;1;3;0;0;6.580639137284949;20
131;"2022-07-17 00:00:00";"First Class";"Corporate";"United States";"Columbus";"Ohio";43229;"East";"Phones";"TEC-PH-10002293";50;60;5;3;0;1;300;7;17;6;0;5.707110264748875;10
132;"2022-03-30 00:00:00";"First Class";"Corporate";"United States";"Columbus";"Ohio";43229;"East";"Paper";"OFF-PA-10002377";80;80;2;4;1;0;160;3;30;2;0;5.081404364984463;0
133;"2022-05-01 00:00:00";"First Class";"Corporate";"United States";"Columbus";"Ohio";43229;"East";"Fasteners";"OFF-FA-10002780";20;20;9;5;1;0;180;5;1;6;0;5.198497031265826;0
134;"2023-04-29 00:00:00";"Standard Class";"Consumer";"United States";"Roseville";"California";95661;"West";"Paper";"OFF-PA-10001804";20;20;3;4;1;0;60;4;29;5;0;4.110873864173311;0
135;"2022-10-28 00:00:00";"Standard Class";"Consumer";"United States";"Roseville";"California";95661;"West";"Paper";"OFF-PA-10001736";30;40;1;5;1;0;40;10;28;4;0;3.713572066704308;10
136;"2022-03-05 00:00:00";"Standard Class";"Consumer";"United States";"Roseville";"California";95661;"West";"Art";"OFF-AR-10001149";10;10;4;5;1;0;40;3;5;5;0;3.713572066704308;0
137;"2022-03-28 00:00:00";"Standard Class";"Consumer";"United States";"Roseville";"California";95661;"West";"Fasteners";"OFF-FA-10002988";0;0;2;5;1;0;0;3;28;0;0;0.0;0
